title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,提品优先级,update date,itemid,最大价格,tag,共有model数
Lamptan LED圆形灯泡套装 24W/33W（日光白光），背面带磁性，方便灯具安装。,24瓦（白光）,5.8,https://cf.shopee.co.th/file/th-11134207-7rasi-m628j8q6ek6u7e,https://TH.xiapibuy.com/product/216414716/10088766701,灯具,灯具,IVCN202511260771,99094456546,无同款,高优先级,03-24发布,10088766701,5.8,,1
户外简约外墙灯防水花园灯防水方形楼梯灯户外单头工程小壁灯,3014 大 20W,66,https://cf.shopee.ph/file/b7789740deb397080701dec2d0cb6929,https://PH.xiapibuy.com/product/325738021/10305278878,灯具,灯具,IVCN202603237139,75512903528,https://detail.1688.com/offer/949384059090.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i23&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,10305278878,66,,1
太阳能LED灯泡TSM-250W 100W，带太阳能电池板。,TSM-625（250瓦）,28.8,https://cf.shopee.co.th/file/2842573077fbb66c3e8c1eb0c2fff538,https://TH.xiapibuy.com/product/460294921/10391108538,灯具,灯具,IVCN202603237141,124913280658,https://detail.1688.com/offer/754901095190.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,10391108538,28.8,,1
⚡全新！！RANDY Galaxy太阳能聚光灯。三档可调灯光。亮度高，性价比高，符合国际标准，无需接线。,Galaxy 300W,65.5,https://cf.shopee.co.th/file/th-11134207-7ra0o-mc94ziqjesqbc4,https://TH.xiapibuy.com/product/372874010/10603145164,灯具,灯具,IVCN202509119195,265741791953,https://detail.1688.com/offer/644952556572.html?spm=a26352.13672862.offerlist.1.5bc41e62W967S9&cosite=-&tracelog=p4p&_p_isad=1&clickid=5ea240da2cac4bf5b244717d0ed3cec3&sessionid=c0419ec3ed09fc370e6ebbbfdfbf994f,高优先级,03-24发布,10603145164,65.5,,3
⚡全新！！RANDY Galaxy太阳能聚光灯。三档可调灯光。亮度高，性价比高，符合国际标准，无需接线。,Galaxy 200W,61.2,https://cf.shopee.co.th/file/th-11134207-7ra0g-mc94zg1zc3jnd6,https://TH.xiapibuy.com/product/372874010/10603145164,灯具,灯具,IVCN202509119195,265741791952,https://detail.1688.com/offer/640137289213.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=6f01ade0730417eb216bed02baee6a1e&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDCFDA9AE2E1F62CA18EC8496E0C430128CEDF48CADCC54646DD5F8F406D899C8717EEF6D6099BA67CE089F770C23C101B7510309429EE5C59C082AC8A84F3C04BAC9BDA7981548DA3E29B995C273AF322BDE146EEED071A5D0303C42CCA93CCEC86A39486BE45AEC383E76DDA5E8E5D24E7399C4844A0AF6D525388505258316BC223B2A50D745B1D0DED53ED341E366FA%26cbu_cps_trace_flag%3Dwrite,高优先级,03-24发布,10603145164,61.2,,3
⚡全新！！RANDY Galaxy太阳能聚光灯。三档可调灯光。亮度高，性价比高，符合国际标准，无需接线。,Galaxy 400W,38,https://cf.shopee.co.th/file/th-11134207-7ra0n-mc94zlw0sq9f7e,https://TH.xiapibuy.com/product/372874010/10603145164,灯具,灯具,IVCN202509119195,265741791954,https://detail.1688.com/offer/684687790588.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高优先级,03-24发布,10603145164,38,,3
WeHome 10支装超薄LED吸顶灯，6500K日光色温，5W/9W/12W/18W筒灯,5瓦 10个装,22,https://cf.shopee.ph/file/ph-11134207-81ztq-mhnjet3uqjnn4f,https://PH.xiapibuy.com/product/304969951/11218791159,灯具,灯具,IVCN202510115893,46456465025,https://detail.1688.com/offer/643327780028.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bbb04ba17586920102022720e0d4c&token=C2jXPjVzqJw00IgGsP9dD%2B41f6hU5YNmDk5CbxtKox%2BJ9z296XhKPxZM6dFLgljx,高优先级,03-24发布,11218791159,22,,1
EVE LED 太阳能地插灯、壁灯和落地灯，15 瓦，暖白光 3000K，RGB 变色型号。,购买 5 套热身训练器材，即可享受 10% 的折扣。,105,https://cf.shopee.co.th/file/th-11134207-7ra0g-mdn3bbeypmyac1,https://TH.xiapibuy.com/product/43533927/11437590372,灯具,灯具,IVCN202505164520,285407600601,https://detail.1688.com/offer/811774394030.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=f10e46dd42301a40a666d5b71e2c08e7&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC3FC0C0C9D2DC7CFADBD8F5EC74E1A36EC1E25F187A452AB822BC1C0695D9069A7EEF6D6099BA67CE089F770C23C101B7BDEA46699C9938D5C8AC57AEAF82EC19EC8928DD4DCED3A3CF025C7E7793E77956A7933240D51B51301165EB73B189428392EE38E55E1D45D5CA779E9338C686B0709D85FCEA068B5DFB17C94A916AF0B1536AAEE47FBA38666AA586E4C561AC%26cbu_cps_trace_flag%3Dwrite,高优先级,03-24发布,11437590372,105,,1
31.5英寸超宽LED电脑桌灯条。一年质保，如有缺陷可更换。,WhiteV2（现货）,75,https://cf.shopee.co.th/file/th-11134207-7r98p-lqa7rmvnj1lw65,https://TH.xiapibuy.com/product/472321265/11486565790,灯具,灯具,IVCN202511051047,250192988997,https://detail.1688.com/offer/721173400024.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i14&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,11486565790,75,,1
TP-Link | Tapo L900 | LED 室内灯 | 吸顶灯 | 夜灯 | 可调光 | RGB | 智能,10米,12,https://cf.shopee.ph/file/ph-11134207-7r98z-lvfy8h4ukedt78,https://PH.xiapibuy.com/product/117867014/12367260132,灯具,灯具,IVCN202509117635,126411091212,https://detail.1688.com/offer/679852232660.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,12367260132,12,,1
BEC KT108 复古床头柜灯，翠绿色，韩剧中热门款式，商务台灯。,BEC KT108 复古床头柜灯，翠绿色，韩剧中热门款式，商务台灯。,65,https://cf.shopee.co.th/file/0b3a6db12ddd919f8d98ccee864fdbbe,https://TH.xiapibuy.com/product/32565722/12475092077,灯具,灯具,IVCN2025101110183,142268598859,https://detail.1688.com/offer/776837463800.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高优先级,03-24发布,12475092077,65,,1
LED橱柜灯（5米）带人体感应器 - 防水,5米 - 12伏 - 挥手白光,13.5,https://cf.shopee.vn/file/vn-11134207-7ras8-m15iy4vjd9x7ed,https://VN.xiapibuy.com/product/446025044/12546464508,灯具,灯具,IVCN2025020813866,86307360921,https://detail.1688.com/offer/734492480214.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,12546464508,13.5,,1
KEELAT 太阳能路灯户外防水 IP67 LED 灯街道感应灯太阳能灯遥控,1200瓦更亮,215,https://cf.shopee.com.my/file/bbbd39ea5ca18ddd6ec4e10320a79108,https://MY.xiapibuy.com/product/326245097/12563045863,灯具,灯具,IVCN202603237159,173948992833,https://detail.1688.com/offer/663682763882.html?spm=a26352.b28411319/2508.0.0,高优先级,03-24发布,12563045863,215,,1
BOSCA UFO 太阳能路灯/户外灯/花园灯，带遥控传感器，功率可选2000W/1000W/800W,UFO 2000W,126,https://cf.shopee.ph/file/sg-11134201-22120-zox1jj13vtkv01,https://PH.xiapibuy.com/product/301705550/12605437430,灯具,灯具,IVCN202512184827,213476706325,https://detail.1688.com/offer/870103616296.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高优先级,03-24发布,12605437430,126,,1
